start,finish,date
2013-07-31 17:37:49+10,2013-07-31 20:32:04+10,2013-07-31
2013-08-03 16:57:34+10,2013-08-03 20:00:57+10,2013-08-03
2013-08-07 17:26:53+10,2013-08-07 20:30:55+10,2013-08-07
2013-08-10 17:41:46+10,2013-08-10 20:47:41+10,2013-08-10
2013-08-15 17:57:18+10,2013-08-15 21:04:30+10,2013-08-15
2013-08-16 17:13:51+10,2013-08-16 20:17:59+10,2013-08-16
2013-08-23 17:17:30+10,2013-08-23 20:16:34+10,2013-08-23
2013-08-24 17:27:38+10,2013-08-24 20:16:41+10,2013-08-24
2013-08-30 17:27:59+10,2013-08-30 20:18:32+10,2013-08-30
2013-09-05 17:57:11+10,2013-09-05 21:01:34+10,2013-09-05
2013-09-07 17:28:10+10,2013-09-07 21:01:45+10,2013-09-07
2013-09-08 16:57:14+10,2013-09-08 21:25:59+10,2013-09-08
2013-09-12 17:59:08+10,2013-09-12 21:03:25+10,2013-09-12
2013-09-13 17:21:04+10,2013-09-13 20:34:50+10,2013-09-13
2013-09-15 16:56:27+10,,2013-09-15
2013-09-19 16:56:34+10,2013-09-19 20:02:22+10,2013-09-19
2013-09-20 17:14:47+10,2013-09-20 20:17:59+10,2013-09-20
2013-09-21 17:09:37+10,2013-09-21 20:26:43+10,2013-09-21
2013-09-22 16:54:57+10,,2013-09-22
2013-09-26 17:53:12+10,2013-09-26 21:17:17+10,2013-09-26
2013-10-04 16:51:46+10,2013-10-04 20:02:59+10,2013-10-04
2013-10-06 16:53:53+10,2013-10-06 21:14:42+10,2013-10-06
2013-10-07 17:23:01+10,2013-10-07 20:37:34+10,2013-10-07
2013-10-10 17:53:47+10,2013-10-10 21:02:50+10,2013-10-10
2013-10-13 17:51:45+10,2013-10-13 21:00:40+10,2013-10-13
2013-10-17 18:31:55+10,2013-10-17 21:13:12+10,2013-10-17
2013-10-20 16:53:51+10,2013-10-20 20:06:29+10,2013-10-20
2013-10-29 16:52:38+10,2013-10-29 20:00:34+10,2013-10-29
2013-11-03 16:53:03+10,2013-11-03 20:17:19+10,2013-11-03
2013-11-05 16:51:38+10,2013-11-05 20:04:31+10,2013-11-05
2013-11-10 16:54:42+10,2013-11-10 19:30:38+10,2013-11-10
2013-11-11 16:55:56+10,2013-11-11 20:04:18+10,2013-11-11
2013-11-12 16:56:42+10,2013-11-12 20:00:41+10,2013-11-12
2013-11-13 16:51:15+10,2013-11-13 20:07:56+10,2013-11-13
2014-03-09 16:52:10+10,2014-03-09 20:01:31+10,2014-03-09
2014-03-12 17:49:18+10,2014-03-12 21:02:57+10,2014-03-12
2014-03-13 17:50:47+10,2014-03-13 21:00:46+10,2014-03-13
2014-03-21 17:37:08+10,2014-03-21 20:51:03+10,2014-03-21
2014-04-03 16:52:45+10,2014-04-03 20:01:23+10,2014-04-03
2014-04-05 17:49:11+10,2014-04-05 21:08:45+10,2014-04-05
2014-04-10 16:51:12+10,2014-04-10 20:00:34+10,2014-04-10
2014-04-12 17:20:04+10,2014-04-12 20:33:35+10,2014-04-12
2014-04-22 17:18:08+10,2014-04-22 20:23:49+10,2014-04-22
2014-04-23 17:37:07+10,2014-04-23 21:04:05+10,2014-04-23
2014-04-24 17:21:47+10,2014-04-24 20:33:46+10,2014-04-24
2014-04-25 17:49:54+10,2014-04-25 21:00:57+10,2014-04-25
2014-04-30 17:50:04+10,2014-04-30 21:26:37+10,2014-04-30
2014-05-03 17:51:10+10,2014-05-03 21:07:55+10,2014-05-03
2014-05-09 17:19:55+10,2014-05-09 20:35:07+10,2014-05-09
2014-05-15 16:49:37+10,2014-05-15 20:03:23+10,2014-05-15
2014-05-16 17:19:23+10,2014-05-16 20:36:42+10,2014-05-16
2014-05-23 17:50:02+10,2014-05-23 21:06:06+10,2014-05-23
2014-05-31 17:04:30+10,2014-05-31 20:17:42+10,2014-05-31
2014-06-13 16:46:06+10,2014-06-13 16:46:01+10,2014-06-13
2014-06-16 16:43:33+10,2014-06-16 20:04:06+10,2014-06-16
2014-06-18 17:46:07+10,,2014-06-18
2014-06-20 17:49:19+10,2014-06-20 21:02:44+10,2014-06-20
2014-06-23 16:48:35+10,2014-06-23 20:09:08+10,2014-06-23
2014-06-25 17:47:13+10,2014-06-25 21:46:46+10,2014-06-25
