setting, default, data_type, impact
login_work_mins_increment,15,Numeric,Explicit
logout_work_mins_increment,15,Numeric,Explicit
login_work_mins_increment_aggressive,true,Boolean,Explicit
logout_work_mins_increment_aggressive,true,Boolean,Explicit
round_logouts_to_rosters,true,Boolean,Explicit
round_logins_to_rosters,true,Boolean,Explicit
breaks_enabled,true,Boolean,Explicit
min_action_interval,5,Numeric,Implicit
automatic_break_length,30,Numeric,Explicit
minimum_shift_length_for_auto_breaks,5.5,Numeric,Explicit
append_automatic_breaks,false,Boolean,Explicit
default_passcode_length,4,Numeric,Explicit
maximum_shift_length,14,Numeric,Implicit
minimum_duration_between_shifts,8,Numeric,Implicit
copy_rosters,false,Boolean,Implicit
managers_can_see_costs,true,Boolean,Explicit
managers_can_share_rosters,true,Boolean,Explicit
managers_can_update_their_timesheets,true,Boolean,Explicit
leave_request_notifications,admins,Enumerative,Explicit
cost_leave_on_weekends,false,Boolean,Explicit
show_weekends,true,Boolean,Explicit
staff_have_full_timesheet_access,false,Boolean,Implicit
staff_can_edit_timesheets,true,Boolean,Explicit
staff_can_see_export_summary,false,Boolean,Implicit
approve_shifts_created_from_rosters,true,Boolean,Implicit
enable_flexi_time_zones,false,Boolean,Implicit
enable_roster_validation,false,Boolean,Explicit
roster_validation_max_length,11.5,Numeric,Implicit
roster_validation_min_gap,8.0,Numeric,Implicit
roster_validation_max_shifts_in_day,1,Numeric,Implicit
roster_validation_max_shifts_in_week,5,Numeric,Implicit
roster_validation_max_hours_in_week,41.0,Numeric,Implicit
roster_validation_min_length,3.0,Numeric,Implicit
enable_multi_level_shift_filters,false,Boolean,Implicit
expected_hours_in_pay_period,0.0,Numeric,Explicit
time_clock_cost_centre_mode,blank,Enumerative,Implicit
leave_request_default_length,7.6,Numeric,Explicit
public_holiday_region_list,blank,Enumerative,Explicit
show_holiday_dates,[],String,Explicit
enable_text_for_roster,true,Boolean,Explicit
enable_employee_leave,true,Boolean,Explicit
enable_availability,false,Boolean,Explicit
unavailability_minimum_days,4,Numeric,Implicit
