"start","finish","date"
"2013-09-15 17:00:00+10","2013-09-15 20:00:00+10","2013-09-15"
"2013-11-04 17:00:00+10","2013-11-04 20:00:00+10","2013-11-04"
"2013-11-05 17:00:00+10","2013-11-05 20:00:00+10","2013-11-05"
"2013-07-31 17:30:00+10","2013-07-31 20:30:00+10","2013-07-31"
"2013-08-03 17:00:00+10","2013-08-03 20:00:00+10","2013-08-03"
"2013-08-07 17:30:00+10","2013-08-07 20:30:00+10","2013-08-07"
"2013-08-10 17:45:00+10","2013-08-10 20:45:00+10","2013-08-10"
"2013-08-16 17:15:00+10","2013-08-16 20:15:00+10","2013-08-16"
"2013-08-15 18:00:00+10","2013-08-15 21:00:00+10","2013-08-15"
"2013-08-23 17:15:00+10","2013-08-23 20:15:00+10","2013-08-23"
"2013-08-24 17:15:00+10","2013-08-24 20:15:00+10","2013-08-24"
"2013-08-30 17:15:00+10","2013-08-30 20:15:00+10","2013-08-30"
"2013-09-05 18:00:00+10","2013-09-05 21:00:00+10","2013-09-05"
"2013-09-08 17:00:00+10","2013-09-08 20:00:00+10","2013-09-08"
"2013-09-12 18:00:00+10","2013-09-12 21:00:00+10","2013-09-12"
"2013-09-13 17:30:00+10","2013-09-13 20:30:00+10","2013-09-13"
"2013-09-19 17:00:00+10","2013-09-19 20:00:00+10","2013-09-19"
"2013-09-26 18:00:00+10","2013-09-26 21:00:00+10","2013-09-26"
"2013-09-20 17:15:00+10","2013-09-20 20:15:00+10","2013-09-20"
"2013-09-22 17:00:00+10","2013-09-22 20:00:00+10","2013-09-22"
"2013-09-21 17:15:00+10","2013-09-21 20:15:00+10","2013-09-21"
"2013-10-04 17:00:00+10","2013-10-04 20:00:00+10","2013-10-04"
"2013-10-06 17:00:00+10","2013-10-06 20:00:00+10","2013-10-06"
"2013-10-07 17:30:00+10","2013-10-07 20:30:00+10","2013-10-07"
"2013-10-10 18:00:00+10","2013-10-10 21:00:00+10","2013-10-10"
"2013-10-13 18:00:00+10","2013-10-13 21:00:00+10","2013-10-13"
"2013-10-17 18:00:00+10","2013-10-17 21:00:00+10","2013-10-17"
"2013-10-20 17:00:00+10","2013-10-20 20:00:00+10","2013-10-20"
"2013-10-29 17:00:00+10","2013-10-29 20:00:00+10","2013-10-29"
"2013-10-30 17:00:00+10","2013-10-30 20:00:00+10","2013-10-30"
"2013-11-03 17:00:00+10","2013-11-03 21:00:00+10","2013-11-03"
"2013-11-10 17:00:00+10","2013-11-10 20:00:00+10","2013-11-10"
"2013-11-12 17:00:00+10","2013-11-12 20:00:00+10","2013-11-12"
"2013-11-13 17:00:00+10","2013-11-13 20:00:00+10","2013-11-13"
"2013-11-11 17:00:00+10","2013-11-11 20:00:00+10","2013-11-11"
"2014-03-12 18:00:00+10","2014-03-12 21:00:00+10","2014-03-12"
"2014-03-19 17:00:00+10","2014-03-19 20:00:00+10","2014-03-19"
"2014-03-20 17:00:00+10","2014-03-20 20:00:00+10","2014-03-20"
"2014-03-09 17:00:00+10","2014-03-09 20:00:00+10","2014-03-09"
"2014-03-13 18:00:00+10","2014-03-13 21:00:00+10","2014-03-13"
"2014-04-22 17:00:00+10","2014-04-22 20:00:00+10","2014-04-22"
"2014-04-24 17:00:00+10","2014-04-24 20:00:00+10","2014-04-24"
"2014-04-25 18:00:00+10","2014-04-25 21:00:00+10","2014-04-25"
"2014-03-27 17:00:00+10","2014-03-27 20:00:00+10","2014-03-27"
"2014-03-26 18:00:00+10","2014-03-26 21:00:00+10","2014-03-26"
"2014-05-03 18:00:00+10","2014-05-03 21:00:00+10","2014-05-03"
"2014-04-03 17:00:00+10","2014-04-03 20:00:00+10","2014-04-03"
"2014-04-05 18:00:00+10","2014-04-05 21:00:00+10","2014-04-05"
"2014-06-13 17:00:00+10","2014-06-13 20:00:00+10","2014-06-13"
"2014-04-30 18:00:00+10","2014-04-30 21:00:00+10","2014-04-30"
"2014-04-10 17:00:00+10","2014-04-10 20:00:00+10","2014-04-10"
"2014-04-12 17:30:00+10","2014-04-12 20:30:00+10","2014-04-12"
"2014-06-23 17:00:00+10","2014-06-23 20:00:00+10","2014-06-23"
"2014-06-25 17:00:00+10","2014-06-25 20:00:00+10","2014-06-25"
"2014-05-09 17:30:00+10","2014-05-09 20:30:00+10","2014-05-09"
"2014-07-16 17:00:00+10","2014-07-16 20:00:00+10","2014-07-16"
"2014-07-12 17:45:00+10","2014-07-12 20:45:00+10","2014-07-12"
"2014-07-01 17:00:00+10","2014-07-01 20:00:00+10","2014-07-01"
"2014-05-16 17:30:00+10","2014-05-16 20:30:00+10","2014-05-16"
"2014-05-23 18:00:00+10","2014-05-23 21:00:00+10","2014-05-23"
"2014-05-31 17:15:00+10","2014-05-31 20:15:00+10","2014-05-31"
"2014-06-16 17:00:00+10","2014-06-16 20:00:00+10","2014-06-16"
"2014-06-18 18:00:00+10","2014-06-18 21:00:00+10","2014-06-18"
"2014-06-20 18:00:00+10","2014-06-20 21:00:00+10","2014-06-20"
"2014-06-07 17:00:00+10","2014-06-07 20:00:00+10","2014-06-07"
